AnO,MES,PROVINCIA_DESTINO,CONTINENTE_ORIGEN,PAIS_ORIGEN,TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA.
2024,2,Leon,America,Argentina,31,254,8.2
2024,2,Lleida,America,Argentina,216,1706,7.9
2024,2,Madrid,America,Argentina,11470,65379,5.7
2024,2,Murcia,America,Argentina,69,690,10
2024,2,Malaga,America,Argentina,1265,10626,8.4
2024,2,Navarra,America,Argentina,58,458,7.9
2024,2,Pontevedra,America,Argentina,132,1360,10.3
2024,2,Salamanca,America,Argentina,55,512,9.3
2024,2,Santa Cruz de Tenerife,America,Argentina,173,1471,8.5
2024,2,Sevilla,America,Argentina,418,3386,8.1
2024,2,Tarragona,America,Argentina,208,1477,7.1
2024,2,Toledo,America,Argentina,84,395,4.7
2024,2,Total Nacional,America,Argentina,23938,157160,6.6
2024,2,Valencia/València,America,Argentina,1066,7995,7.5
2024,2,Valladolid,America,Argentina,49,348,7.1
2024,2,Zaragoza,America,Argentina,110,781,7.1
2024,3,A Coruna,America,Argentina,264,2112,8
2024,3,Alicante/Alacant,America,Argentina,763,6257,8.2
2024,3,Almeria,America,Argentina,127,927,7.3
2024,3,Araba/alava,America,Argentina,33,234,7.1
2024,3,Asturias,America,Argentina,180,1548,8.6
2024,3,Barcelona,America,Argentina,7625,47275,6.2
2024,3,Bizkaia,America,Argentina,175,1505,8.6
2024,3,Burgos,America,Argentina,50,300,6
2024,3,Cantabria,America,Argentina,79,616,7.8
2024,3,Castellon/Castello,America,Argentina,132,1254,9.5
2024,3,Cadiz,America,Argentina,206,1030,5
2024,3,Cordoba,America,Argentina,103,587,5.7
2024,3,Gipuzkoa,America,Argentina,212,1336,6.3
2024,3,Girona,America,Argentina,305,1891,6.2
2024,3,Granada,America,Argentina,314,1915,6.1
2024,3,Guadalajara,America,Argentina,58,284,4.9
2024,3,Huesca,America,Argentina,34,309,9.1
2024,3,Illes Balears,America,Argentina,870,6525,7.5
